Topic 423 (0.00): matter, mind, reason, question, simply, understand, truth, doubt, surely, suppose
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 386 (0.00): company, bid, business, deal, companies, stake, shares, cent, market, chairman
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, feel, children
Topic 58 (0.00): crowd, people, audience, front, standing, day, stood, stage, applause, round
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, heart
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, coach, international
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, law, justice
Topic 956 (0.00): army, battle, soldiers, enemy, horse, king, miles, horses, rode, day
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, stone, road, window
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, effect, shown, calcium, response, increased
Topic 1109 (0.00): job, time, career, life, found, months, people, decided, school, left
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, access, management
Topic 158 (0.00): football, club, league, players, game, team, cup, season, fans, manager
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, official, public, claims, story
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, position, remove, base
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, relations
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 553 (0.00): mother, daughter, girl, parents, family, father, home, child, told, life
Topic 1201 (0.00): act, section, person, provisions, statutory, subject, powers, duty, provision, persons
Topic 1129 (0.00): social, society, people, individual, sociology, life, behaviour, individuals, relations, societies
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 675 (0.00): proposals, proposed, council, proposal, consultation, review, document, paper, draft, report
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, painted, portrait, paint
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, road
Topic 1001 (0.00): world, people, human, country, life, live, society, power, lives, hope
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, hand, house, madam, father
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, question, potential, means
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, pond
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, white
Topic 45 (0.00): military, army, coup, government, president, forces, officers, country, armed, attempt
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 21 (0.00): funding, money, grant, funds, fund, support, government, grants, financial, council
Topic 924 (0.00): charges, court, trial, investigation, corruption, government, scandal, alleged, arrested, prison
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, conservatives, election, thatcher
Topic 1302 (0.00): chapter, section, book, discussed, chapters, discussion, analysis, main, detail, study
Topic 617 (0.00): college, university, professor, oxford, school, students, lecturer, academic, royal, veterinary
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, found, chronic, liver
Topic 756 (0.00): war, world, military, country, civil, gulf, wars, army, wartime, battle
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, period, increases, decline, rates
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 652 (0.00): magazine, article, issue, readers, editor, read, page, articles, letter, write
Topic 808 (0.00): smiled, time, love, looked, laughed, told, happy, meet, home, kissed
Topic 1163 (0.00): windows, program, screen, files, file, dos, software, version, package, programs
Topic 1120 (0.00): phone, telephone, call, voice, calls, time, ring, rang, receiver, office
Topic 1336 (0.00): community, union, treaty, economic, policy, single, monetary, political, countries, common
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 334 (0.00): local, government, authorities, councils, central, services, authority, county, council, district
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, guilty, crown, murder
