Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 58 (0.00): crowd, people, audience, front, day, stood, round, standing, applause, stage
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, demonstration, riots
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, spirit
Topic 1109 (0.00): job, time, life, career, months, found, school, started, left, decided
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 815 (0.00): rugby, players, world, game, cup, south, tour, team, international, coach
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, market, cent, chairman
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, justice, held, law
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, concerto
Topic 1126 (0.00): information, data, system, systems, computer, electronic, records, software, management, database
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 956 (0.00): army, soldiers, battle, enemy, horse, king, miles, troops, horses, prince
Topic 1414 (0.00): life, home, time, people, friends, day, family, enjoy, children, feel
Topic 941 (0.00): house, door, garden, front, gate, windows, window, stone, wall, road
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, calcium, effect, shown, increased, protein
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, clubs
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, sex, feminists, sexual
Topic 1465 (0.00): cut, top, holes, plastic, hole, edge, metal, piece, fit, position
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, labour, capital, economic, system
Topic 269 (0.00): told, claimed, press, allegations, statement, evidence, official, public, claims, story
Topic 1141 (0.00): system, software, systems, network, applications, data, users, database, application, management
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 1201 (0.00): act, section, person, provisions, statutory, subject, duty, powers, provision, power
Topic 1001 (0.00): world, people, human, country, life, live, society, lives, future, hope
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 1129 (0.00): social, society, people, life, sociology, individual, behaviour, individuals, societies, human
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, tanks, fry, filtration
Topic 1108 (0.00): solution, difficult, situation, difficulties, future, difficulty, task, question, alternative, resources
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, painted, portrait, paint
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, told, gentleman, woman, madam
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, foliage
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 675 (0.00): proposals, proposed, proposal, consultation, document, council, review, draft, paper, committee
Topic 762 (0.00): research, science, department, technology, university, centre, programme, development, institute, industry
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, soldiers, peace
Topic 805 (0.00): party, government, labour, conservative, political, policy, policies, conservatives, social, election
Topic 553 (0.00): mother, daughter, girl, parents, home, family, father, child, told, children
Topic 436 (0.00): village, house, church, built, century, manor, hall, houses, building, parish
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, serum, liver, chronic
Topic 924 (0.00): charges, court, trial, investigation, government, scandal, corruption, arrested, alleged, police
Topic 21 (0.00): funding, money, funds, grant, government, support, fund, grants, financial, council
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, change, period, increases, rates
Topic 1163 (0.00): windows, program, screen, files, file, dos, software, version, package, text
Topic 1302 (0.00): chapter, section, book, chapters, discussed, discussion, analysis, main, study, detail
Topic 45 (0.00): military, army, government, coup, forces, president, officers, armed, country, attempt
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, letter, page, journal
Topic 808 (0.00): smiled, love, time, looked, laughed, happy, told, meet, kissed, home
Topic 505 (0.00): friends, friend, life, time, met, found, friendship, home, house, school
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, common, countries, political
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, time, receiver, office
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, water
Topic 334 (0.00): local, government, authorities, councils, services, authority, central, county, council, district
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 261 (0.00): sales, company, market, products, customers, selling, business, product, companies, marketing
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, primary
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, house, square, century
Topic 322 (0.00): race, horse, won, racing, jockey, winner, trainer, run, cup, season
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, policy, concern
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, paintings, arts, exhibition
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, company
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, history, rule
Topic 1186 (0.00): church, catholic, religious, roman, bishops, pope, churches, christian, clergy, archbishop
Topic 920 (0.00): policy, policies, government, political, public, social, economic, implementation, governments, issues
Topic 686 (0.00): major, minister, thatcher, prime, john, party, government, labour, cabinet, election
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, murdered, life, shot
