Topic 1401 (0.00): management, evaluation, assessment, process, performance, review, objectives, information, development, effectiveness
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, mathematics, teaching, assessment
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, spirit
Topic 58 (0.00): crowd, people, audience, front, day, stage, round, stood, applause, crowds
Topic 386 (0.00): company, bid, business, deal, companies, shares, stake, market, chairman, cent
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 815 (0.00): rugby, players, world, game, cup, south, tour, team, play, international
Topic 1414 (0.00): time, life, home, people, family, day, friends, enjoy, feel, children
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, concerto
Topic 1126 (0.00): information, data, system, systems, computer, electronic, records, software, database, management
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, justice, lord
Topic 956 (0.00): army, battle, soldiers, enemy, miles, king, horse, troops, horses, prince
Topic 1109 (0.00): job, time, life, career, months, school, found, people, left, started
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, fans
Topic 941 (0.00): house, door, garden, front, gate, windows, stone, window, wall, road
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, effect, increased, protein
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 1465 (0.00): cut, top, holes, plastic, piece, metal, hole, edge, remove, length
Topic 269 (0.00): told, claimed, press, allegations, statement, evidence, public, newspaper, official, claims
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, labour, capital, economic, relations
Topic 1201 (0.00): act, section, person, provisions, statutory, subject, duty, powers, provision, persons
Topic 1141 (0.00): system, software, network, systems, applications, data, database, users, support, management
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 1001 (0.00): world, people, human, country, life, live, society, future, power, war
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, tanks, plants, fry, pond
Topic 617 (0.00): college, university, professor, oxford, school, students, lecturer, royal, academic, veterinary
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, review, paper, document, draft, committee
Topic 553 (0.00): mother, daughter, girl, parents, family, home, father, child, told, children
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, portrait, painted, paint
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, democratic, parties, candidates
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, summer, spring, grow
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, relations, societies
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, woman, hand, gentleman
