Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, sculpture
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, soviet, workers, social
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, mathematics, teaching, assessment
Topic 58 (0.00): crowd, people, audience, front, day, stood, round, standing, applause, crowds
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, heart
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, coach
Topic 386 (0.00): company, bid, business, deal, companies, stake, market, shares, cent, chairman
Topic 290 (0.00): century, nineteenth, twentieth, eighteenth, centuries, late, period, modern, middle, seventeenth
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 956 (0.00): army, battle, soldiers, enemy, horse, king, miles, horses, rode, troops
Topic 1414 (0.00): life, time, home, people, friends, family, day, enjoy, children, feel
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, justice, lord, held
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, database
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, window, stone, road
Topic 1109 (0.00): job, time, career, people, found, life, months, left, school, decided
Topic 1490 (0.00): cells, cell, activity, membrane, receptor, shown, calcium, effect, response, increased
Topic 1465 (0.00): cut, top, holes, plastic, piece, hole, metal, bottom, position, edge
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminism, feminists, sex, sexual
Topic 269 (0.00): told, press, allegations, claimed, statement, official, evidence, story, newspaper, public
Topic 1001 (0.00): world, people, human, country, life, live, society, power, future, lives
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, relations
Topic 1141 (0.00): system, software, network, systems, applications, data, users, support, database, application
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, subject, duty, provision, persons
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, house, madam, time, hand
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, remain, continue, alternative
Topic 880 (0.00): wife, husband, woman, married, marriage, children, life, daughter, family, love
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, human, relations
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, filtration
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, review, paper, document, draft, committee
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 553 (0.00): mother, daughter, girl, parents, father, home, family, child, told, mum
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, portrait, painted, paint
Topic 1302 (0.00): chapter, section, chapters, discussed, book, discussion, analysis, main, study, aspects
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, spring, roses, summer, grow
