Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, workers, soviet, left
Topic 58 (0.00): crowd, people, audience, front, day, standing, applause, stood, round, stage
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, mathematics, teaching, assessment
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, sculpture
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 956 (0.00): army, battle, soldiers, horse, enemy, miles, troops, king, horses, killed
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, season
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, market, cent, chairman
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, children, feel
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, composer, playing, recordings, sound
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, heart
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, lord, law, justice
Topic 158 (0.00): football, club, league, players, game, team, cup, season, clubs, manager
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, access
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stone, road
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, shown, calcium, response, effect, increased
Topic 1109 (0.00): job, time, career, life, found, school, left, people, months, decided
Topic 269 (0.00): told, claimed, allegations, press, evidence, statement, claims, public, newspaper, official
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, edge, bottom, remove
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, house, told, leave
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, management, support
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, relations
Topic 553 (0.00): mother, daughter, girl, parents, father, family, home, child, told, baby
Topic 1001 (0.00): world, people, country, human, life, live, society, war, future, power
Topic 1129 (0.00): social, society, people, individual, sociology, life, behaviour, individuals, societies, human
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, subject, duty, provision, persons
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, document, review, paper, draft, report
Topic 1108 (0.00): solution, difficulties, difficult, situation, future, difficulty, question, task, alternative, view
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, academic, royal, veterinary
Topic 762 (0.00): research, science, department, university, technology, centre, programme, institute, development, industry
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, filtration
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, love, family
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, election, thatcher
Topic 122 (0.00): increase, increased, rate, reduced, reduction, period, increasing, increases, decline, change
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, found, chronic, serum
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, summer, spring, soil
Topic 21 (0.00): funding, funds, money, grant, fund, support, government, financial, grants, council
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, arrested, police
Topic 808 (0.00): time, smiled, love, looked, laughed, happy, told, meet, kissed, tomorrow
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, country, attempt
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, wartime, battle
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, common, countries, political
Topic 1302 (0.00): chapter, section, chapters, book, discussed, discussion, analysis, study, main, detail
Topic 1163 (0.00): windows, program, screen, files, file, dos, software, version, package, user
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, county, council, district
Topic 261 (0.00): sales, company, market, products, customers, selling, business, product, companies, marketing
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, line
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, water, brandy
Topic 1000 (0.00): soviet, supreme, republics, union, republic, president, independence, deputies, federation, congress
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, square, house, century
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, rule, time
Topic 505 (0.00): friends, friend, life, met, time, found, home, friendship, girls, house
Topic 186 (0.00): tax, income, taxes, taxation, government, rate, revenue, budget, cent, pay
Topic 322 (0.00): race, horse, won, racing, winner, jockey, trainer, cup, run, season
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, plays, drama, audience
Topic 1174 (0.00): party, president, elected, minister, national, government, political, elections, council, assembly
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, paintings, arts, exhibition
Topic 1115 (0.00): murder, death, killed, kill, killing, dead, people, life, shot, murdered
Topic 1199 (0.00): law, legal, laws, courts, common, legislation, act, criminal, rules, statute
Topic 920 (0.00): policy, policies, government, political, economic, social, public, implementation, governments, issues
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, policy, concern
Topic 1186 (0.00): church, catholic, religious, roman, christian, bishops, churches, pope, council, clergy
Topic 686 (0.00): major, minister, thatcher, prime, john, government, labour, party, election, cabinet
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, subject
Topic 960 (0.00): boat, deck, water, ship, boats, crew, yacht, sea, sailing, cabin
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, learner
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, sergeant
Topic 61 (0.00): differences, structure, pattern, features, similar, common, patterns, structures, variations, individual
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, eating, vegetables
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, home
Topic 802 (0.00): daily, press, paper, newspaper, news, newspapers, papers, times, editor, national
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, south
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotions, emotional, feeling, love
Topic 930 (0.00): president, bush, house, congress, senate, campaign, administration, republican, white, presidential
Topic 612 (0.00): women, children, woman, wives, family, married, home, mothers, husbands, employment
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feelings, feel, family, experience
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, hope, send, reply
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, local, funds, event
Topic 1398 (0.00): hotel, pool, beach, bar, bedrooms, breakfast, night, single, restaurant, dinner
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, cut, financial
Topic 483 (0.00): school, children, pupils, schools, teachers, teacher, parents, education, primary, pupil
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 327 (0.00): sea, beach, coast, water, bay, sand, island, shore, tide, boat
Topic 200 (0.00): police, night, home, attack, car, officers, house, yesterday, arrested, people
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessels, vessel
Topic 1281 (0.00): form, information, details, application, date, office, required, certificate, address, copy
Topic 70 (0.00): party, labour, national, conference, communist, left, policy, movement, parties, government
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 601 (0.00): view, opinion, views, public, attitude, expressed, opinions, attitudes, people, matter
Topic 823 (0.00): birds, bird, species, wings, nest, food, feathers, owl, breeding, owls
Topic 1195 (0.00): killed, government, people, police, security, attack, army, claimed, attacks, forces
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, stock, dividend, trading, index
Topic 374 (0.00): army, war, attack, troops, forces, enemy, battle, allied, front, line
Topic 959 (0.00): water, clean, washing, clothes, wash, kitchen, dirty, bath, hot, bed
Topic 881 (0.00): life, experience, spiritual, human, god, love, mind, world, nature, sense
Topic 967 (0.00): staff, department, management, manager, personnel, training, senior, job, responsibility, service
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, mothers, pregnancy, women
Topic 74 (0.00): failure, lack, poor, failed, result, inadequate, failures, reasons, due, difficult
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, democratic, system
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, prison, torture, death
Topic 277 (0.00): add, minutes, oil, cook, pan, serve, chopped, pepper, salt, heat
Topic 715 (0.00): people, person, lot, live, lives, time, understand, difficult, feel, world
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, tournament, par
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, payments
Topic 50 (0.00): engine, power, rover, rear, front, fitted, range, steering, car, speed
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, joy, light, love, dream
Topic 728 (0.00): house, home, flat, live, living, cottage, lived, people, moved, family
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, country, aid, nations
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, results, measured, standard
Topic 109 (0.00): police, body, found, murder, inspector, death, detective, dead, sergeant, missing
Topic 1059 (0.00): sites, site, roman, evidence, archaeological, buildings, excavation, settlement, found, remains
Topic 1264 (0.00): paper, read, written, writing, write, letter, letters, pen, notes, book
Topic 1166 (0.00): knowledge, understanding, experience, skills, understand, ability, people, technical, skill, learn
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, manager, board, business
Topic 240 (0.00): desk, office, door, chair, sat, morning, looked, papers, floor, file
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, months, weeks, treated
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, housing, unemployment
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, body, officers, board, representatives
Topic 84 (0.00): range, design, designed, designs, wide, prices, choice, quality, including, sizes
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, costs, sold
Topic 1219 (0.00): health, care, services, patients, service, practitioners, practice, authorities, practices, hospital
Topic 1330 (0.00): table, figures, average, total, figure, proportion, statistics, compared, data, period
Topic 130 (0.00): management, managers, manager, people, business, company, profit, job, employees, senior
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, office
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, authorities, private
