Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, soviet, workers, class
Topic 58 (0.00): crowd, people, audience, front, stood, day, applause, standing, round, crowds
Topic 290 (0.00): century, nineteenth, eighteenth, late, twentieth, centuries, period, modern, middle, seventeenth
Topic 734 (0.00): police, people, violence, protest, demonstrations, demonstrators, city, march, riots, demonstration
Topic 1414 (0.00): life, home, time, people, friends, day, family, enjoy, children, feel
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 956 (0.00): army, battle, soldiers, king, enemy, horse, miles, horses, troops, town
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, sculpture
Topic 815 (0.00): rugby, players, world, cup, game, tour, south, team, international, coach
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, market, cent, takeover
Topic 1109 (0.00): job, time, life, career, decided, found, months, left, school, people
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, justice
Topic 550 (0.00): god, lord, prayer, life, love, christian, pray, people, heart, spirit
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, road, stone
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, position, edge, fit
Topic 1490 (0.00): cells, cell, membrane, receptor, effect, activity, shown, calcium, protein, increased
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, public, official, claims, story
Topic 158 (0.00): football, club, league, players, game, team, cup, fans, manager, match
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminism, sex, feminists, sexual
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, capital, society, economic, relations
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, mum
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, duty, subject, persons, provision
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, hand, father, house
Topic 1001 (0.00): people, world, country, human, life, live, society, power, future, lives
Topic 675 (0.00): proposals, proposed, council, consultation, proposal, paper, document, review, draft, report
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, pond, tanks
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 762 (0.00): research, science, department, technology, university, centre, programme, development, institute, industry
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, societies, human
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 756 (0.00): war, world, military, country, gulf, civil, army, soldiers, wars, fighting
Topic 602 (0.00): party, elections, cent, seats, election, vote, won, parties, democratic, candidates
Topic 1302 (0.00): chapter, section, book, chapters, discussed, discussion, analysis, main, study, detail
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, thatcher, social
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, spring, summer, white
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, period, increases, change, rates
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, serum, chronic, liver
Topic 21 (0.00): funding, funds, money, grant, fund, support, grants, government, financial, million
Topic 1108 (0.00): solution, difficulties, difficult, situation, future, difficulty, task, alternative, potential, remain
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, country, panama
Topic 1163 (0.00): windows, program, screen, files, file, dos, version, software, package, text
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 924 (0.00): charges, court, trial, investigation, government, scandal, corruption, alleged, arrested, prison
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, council
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, political, common, countries
Topic 808 (0.00): time, smiled, love, looked, laughed, told, meet, happy, kissed, day
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, office
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, question, political, concern, policy
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, poured
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 322 (0.00): race, horse, racing, won, jockey, winner, trainer, cup, run, season
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, actors, drama, plays, audience
Topic 1186 (0.00): church, catholic, religious, roman, bishops, pope, christian, churches, council, archbishop
Topic 1115 (0.00): murder, death, killed, kill, killing, life, dead, people, shot, murdered
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 1199 (0.00): law, legal, laws, common, courts, legislation, act, rules, criminal, principles
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, house, square
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 186 (0.00): tax, income, taxes, taxation, government, revenue, rate, budget, cent, pay
