Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 58 (0.00): crowd, people, audience, front, day, stood, standing, round, applause, crowds
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 550 (0.00): god, lord, prayer, love, life, people, christian, pray, spirit, holy
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, sculpture
Topic 1414 (0.00): life, home, time, people, day, friends, family, enjoy, children, feel
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 734 (0.00): police, people, violence, protest, demonstrations, demonstrators, city, demonstration, march, riots
Topic 1109 (0.00): job, time, life, career, months, decided, left, people, found, school
Topic 956 (0.00): army, battle, soldiers, miles, enemy, horse, horses, king, troops, town
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, season
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 386 (0.00): company, bid, business, deal, stake, companies, shares, cent, market, takeover
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, justice
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, power
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, management
Topic 941 (0.00): house, door, garden, front, gate, windows, stone, wall, window, road
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, effect, shown, calcium, response, increased
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, official, claims, story
Topic 1465 (0.00): cut, top, holes, plastic, hole, metal, piece, edge, position, fit
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, capital, society, economic, relations
Topic 1201 (0.00): act, section, person, provisions, statutory, duty, powers, subject, provision, persons
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 1141 (0.00): system, software, network, systems, applications, data, database, users, support, application
Topic 553 (0.00): mother, daughter, girl, parents, family, father, home, child, told, baby
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, woman, leave, house
Topic 675 (0.00): proposals, proposed, council, proposal, consultation, paper, document, review, draft, report
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, thatcher, election
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 1129 (0.00): social, society, people, life, sociology, individual, behaviour, individuals, relations, societies
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 1001 (0.00): world, people, human, country, life, live, future, society, lives, power
Topic 762 (0.00): research, science, department, university, technology, centre, programme, institute, development, industry
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, painted, portrait, paint
Topic 617 (0.00): college, university, professor, oxford, school, students, academic, lecturer, royal, veterinary
Topic 1307 (0.00): fish, tank, water, filter, aquarium, species, plants, fry, tanks, filtration
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, time, potential, task, alternative
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, foliage
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, found, serum, intestinal
