Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 58 (0.00): crowd, people, audience, day, front, stood, round, standing, applause, crowds
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, bible
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, demonstration, riots
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, sculpture
Topic 1414 (0.00): life, time, home, people, day, friends, family, children, enjoy, feel
Topic 386 (0.00): company, bid, business, companies, stake, deal, cent, shares, market, takeover
Topic 956 (0.00): army, battle, soldiers, horse, enemy, miles, troops, horses, king, town
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, coach, play
Topic 1109 (0.00): job, time, life, career, people, decided, found, months, school, left
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, justice, lord
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 941 (0.00): house, door, garden, front, gate, wall, windows, stone, window, stood
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, official, public, newspaper, story
Topic 1490 (0.00): cells, cell, membrane, receptor, shown, activity, calcium, increased, protein, response
Topic 1465 (0.00): cut, top, holes, plastic, hole, metal, piece, edge, bottom, position
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, society, capital, economic, system
Topic 553 (0.00): mother, daughter, girl, parents, family, father, home, child, told, life
Topic 1201 (0.00): act, section, person, provisions, subject, powers, statutory, duty, provision, persons
Topic 1141 (0.00): system, software, network, systems, applications, data, database, users, support, application
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, farm
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, father, told, leave
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 1129 (0.00): social, society, people, sociology, behaviour, life, individual, individuals, relations, human
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, pond, tanks
Topic 675 (0.00): proposals, proposed, consultation, proposal, council, document, review, paper, draft, report
Topic 1001 (0.00): world, people, human, country, life, live, society, future, lives, power
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, question, task, time, alternative
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, thatcher, social
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, portrait, painted, paint
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 756 (0.00): war, world, military, gulf, country, civil, wars, soldiers, battle, army
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, country, attempt
Topic 617 (0.00): college, university, professor, oxford, school, students, lecturer, academic, royal, student
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, found, serum, chronic
Topic 924 (0.00): charges, court, trial, investigation, government, corruption, scandal, alleged, arrested, criminal
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, spring, summer, white
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, disk
Topic 1302 (0.00): chapter, section, chapters, discussed, book, discussion, analysis, main, study, detail
Topic 21 (0.00): funding, money, funds, grant, fund, support, government, grants, financial, council
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 808 (0.00): time, smiled, love, looked, told, laughed, happy, meet, kissed, girl
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, political, countries, common
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, change, increases, decline, rates
Topic 505 (0.00): friends, friend, life, time, met, found, home, house, friendship, girl
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, receiver, time, office
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, water
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, concern, policy
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, house, fine, century, square
Topic 1200 (0.00): teachers, schools, teacher, teaching, curriculum, school, education, classroom, development, educational
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, time, rule, power
Topic 322 (0.00): race, horse, racing, won, jockey, winner, trainer, cup, run, season
Topic 686 (0.00): major, minister, thatcher, prime, john, party, labour, government, cabinet, election
Topic 1478 (0.00): theatre, play, stage, actor, production, performance, actors, plays, drama, audience
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, captain
Topic 631 (0.00): museum, art, collection, gallery, museums, national, collections, arts, paintings, exhibition
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1186 (0.00): church, catholic, roman, religious, christian, bishops, churches, pope, council, archbishop
Topic 186 (0.00): tax, income, taxes, taxation, revenue, government, rate, budget, vat, pay
Topic 1199 (0.00): law, legal, laws, courts, common, act, legislation, criminal, rules, statute
Topic 1115 (0.00): murder, death, killed, kill, killing, dead, life, people, murdered, shot
Topic 61 (0.00): differences, structure, pattern, features, similar, patterns, common, structures, variations, form
Topic 920 (0.00): policy, policies, government, political, social, economic, public, implementation, issues, governments
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, teachers
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 133 (0.00): word, words, recognition, information, system, text, input, lexicon, processing, corpus
Topic 802 (0.00): daily, newspaper, paper, press, news, newspapers, times, papers, editor, national
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, south
Topic 855 (0.00): children, child, parents, adult, adults, age, school, parent, childhood, family
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, eating, vegetables
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 960 (0.00): boat, deck, water, boats, ship, yacht, crew, sea, sailing, sail
Topic 612 (0.00): women, children, woman, home, married, wives, family, mothers, husbands, employment
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, vessels
Topic 215 (0.00): letter, letters, write, wrote, dear, written, received, hope, send, read
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, financial
Topic 1398 (0.00): hotel, beach, pool, bar, bedrooms, breakfast, night, single, terrace, restaurant
Topic 1281 (0.00): form, information, details, application, date, office, required, certificate, copy, address
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 1266 (0.00): money, charity, raised, raise, fund, appeal, people, funds, support, day
Topic 96 (0.00): people, person, life, counselling, social, counsellor, feelings, feel, family, loss
Topic 722 (0.00): fear, feelings, feel, anger, life, people, emotions, emotional, feeling, person
Topic 327 (0.00): sea, beach, coast, bay, sand, water, island, shore, tide, boat
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, stock, rose
Topic 483 (0.00): school, children, pupils, teachers, teacher, schools, parents, education, primary, pupil
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, fly, owl, breeding, food
Topic 200 (0.00): police, night, home, attack, house, car, officers, yesterday, people, arrested
Topic 70 (0.00): party, labour, national, conference, communist, policy, left, movement, government, parties
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, people, attitudes, majority
Topic 374 (0.00): army, attack, troops, war, enemy, forces, front, battle, allied, armies
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, international, political, prison, torture, released
Topic 1195 (0.00): killed, government, police, security, people, army, attack, attacks, forces, claimed
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 959 (0.00): water, clean, washing, clothes, wash, kitchen, dirty, floor, hot, bath
Topic 74 (0.00): failure, lack, poor, failed, result, inadequate, failures, difficult, due, reasons
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, mind, sense, nature
Topic 728 (0.00): house, home, live, flat, living, cottage, people, moved, lived, family
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, democratic, system
Topic 109 (0.00): police, body, found, murder, death, inspector, dead, detective, missing, sergeant
Topic 967 (0.00): staff, department, management, manager, personnel, training, senior, service, responsibility, job
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, par, tournament
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, chopped, serve, heat, salt
Topic 50 (0.00): engine, power, rover, rear, front, range, fitted, steering, speed, fuel
Topic 715 (0.00): people, person, live, lot, lives, country, understand, talk, time, world
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, system
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, standard, significant, results
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, joy, dream, light, day
Topic 1059 (0.00): site, sites, evidence, roman, archaeological, buildings, excavation, settlement, remains, found
Topic 1166 (0.00): knowledge, experience, understanding, skills, understand, ability, people, technical, skill, learn
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, body, board, representatives, officers
Topic 1157 (0.00): countries, world, international, development, global, developing, aid, economic, country, nations
Topic 1423 (0.00): director, chairman, company, executive, chief, appointed, managing, manager, board, management
Topic 144 (0.00): poor, poverty, social, conditions, people, living, families, children, unemployment, housing
Topic 1264 (0.00): paper, read, written, writing, write, letter, pen, letters, notes, hand
Topic 240 (0.00): desk, office, door, chair, sat, looked, morning, floor, papers, corridor
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, buying, sold
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, disease, weeks
Topic 130 (0.00): management, managers, manager, people, business, company, profit, employees, job, performance
Topic 134 (0.00): union, trade, unions, industrial, workers, bargaining, labour, relations, employers, collective
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, compared, data
Topic 382 (0.00): company, companies, directors, business, shareholders, director, corporate, limited, management, employees
Topic 84 (0.00): range, design, designed, designs, choice, wide, prices, offer, price, sizes
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, office
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, time, told
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, practices, hospital
Topic 693 (0.00): factors, factor, influence, conditions, individual, environment, nature, level, degree, importance
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, private, house
Topic 859 (0.00): tears, pain, life, death, grief, cry, feeling, anger, suffering, crying
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, dark, light
