Topic 789 (0.00): cup, final, win, won, team, league, season, championship, club, division
Topic 996 (0.00): decline, war, led, crisis, remained, period, time, continued, lost, collapse
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 58 (0.00): crowd, people, audience, front, day, standing, applause, round, crowds, stood
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, coach
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, bible, heart
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, feel, children
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, justice
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, cent, market, chairman
Topic 956 (0.00): army, battle, soldiers, king, enemy, troops, miles, prince, horses, horse
Topic 1109 (0.00): job, time, life, career, people, months, school, found, left, decided
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, story, newspaper, official
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, management
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, shown, calcium, effect, increased, response
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, power
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, clubs
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, edge, position, bottom
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 553 (0.00): mother, daughter, parents, girl, family, home, father, child, told, mum
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stood, stone
Topic 1001 (0.00): world, people, human, country, live, life, society, future, power, lives
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, capital, society, economic, system
Topic 1201 (0.00): act, section, provisions, person, statutory, powers, subject, duty, provision, persons
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, leave, father, woman
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, parties, democratic, candidates
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, academic, royal, student
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, filtration, tanks
Topic 675 (0.00): proposals, proposed, consultation, document, proposal, council, paper, review, draft, committee
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, portrait, painted, paint
Topic 1108 (0.00): solution, difficulties, difficult, situation, future, difficulty, task, question, remain, alternative
Topic 1302 (0.00): chapter, section, discussed, chapters, book, discussion, analysis, main, study, detail
Topic 762 (0.00): research, science, department, technology, university, centre, programme, development, institute, international
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, social, thatcher
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, serum, found, intestinal
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, spring, summer, white
Topic 1129 (0.00): social, society, sociology, life, people, individual, individuals, behaviour, relations, societies
Topic 756 (0.00): war, world, military, gulf, civil, country, army, wars, soldiers, wartime
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, countries, political, common
Topic 924 (0.00): charges, court, trial, government, investigation, scandal, alleged, arrested, corruption, prison
Topic 21 (0.00): funding, funds, money, grant, fund, support, government, grants, financial, council
Topic 45 (0.00): military, army, coup, government, forces, president, officers, armed, panama, country
Topic 808 (0.00): time, smiled, love, laughed, looked, happy, told, meet, kissed, tomorrow
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 608 (0.00): issues, debate, issue, questions, discussion, political, public, question, concern, future
Topic 1227 (0.00): court, told, police, yesterday, heard, trial, found, crown, guilty, murder
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, letters
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, increases, effect, change, period
Topic 1163 (0.00): windows, program, screen, dos, files, file, software, version, package, user
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 334 (0.00): local, government, authorities, councils, central, services, authority, council, county, district
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1120 (0.00): phone, telephone, call, voice, ring, calls, rang, time, receiver, office
Topic 261 (0.00): sales, company, market, products, customers, selling, business, marketing, companies, product
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 355 (0.00): church, built, palace, chapel, building, cathedral, century, fine, square, city
Topic 322 (0.00): race, horse, jockey, won, racing, winner, trainer, cup, season, run
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, drunk
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, actors, drama, plays, company
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, time, rule
Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, girls, school
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, paintings, arts, exhibition
Topic 1174 (0.00): party, elected, president, minister, national, government, political, council, elections, assembly
Topic 1199 (0.00): law, legal, laws, common, act, courts, legislation, criminal, rules, statute
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, cent, pay
Topic 1186 (0.00): church, catholic, religious, roman, christian, bishops, pope, churches, council, archbishop
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, training, soldier, captain
Topic 1115 (0.00): murder, killed, death, kill, dead, killing, people, life, murdered, shot
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 686 (0.00): major, minister, prime, thatcher, john, party, government, labour, cabinet, secretary
Topic 920 (0.00): policy, policies, government, political, social, public, economic, implementation, governments, issues
Topic 61 (0.00): differences, pattern, structure, features, similar, common, patterns, structures, variations, individual
Topic 960 (0.00): boat, deck, water, ship, boats, crew, yacht, sea, sailing, sail
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, home
Topic 930 (0.00): president, bush, house, congress, administration, campaign, senate, republican, white, presidential
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 133 (0.00): words, word, recognition, information, system, text, input, lexicon, processing, corpus
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, city
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 612 (0.00): women, children, woman, wives, married, home, family, husbands, mothers, employment
Topic 1266 (0.00): money, raised, charity, raise, fund, people, appeal, support, funds, local
Topic 934 (0.00): diet, food, foods, sugar, fat, eat, fibre, fruit, vegetables, eating
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotions, emotional, feeling, love
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, coast, vessel
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feelings, feel, family, loss
Topic 881 (0.00): life, experience, spiritual, human, god, love, mind, world, sense, nature
Topic 802 (0.00): press, newspaper, daily, paper, news, newspapers, papers, times, editor, mail
Topic 1398 (0.00): hotel, beach, pool, bar, bedrooms, breakfast, night, single, dinner, restaurant
Topic 327 (0.00): sea, beach, coast, bay, water, sand, island, shore, tide, boat
Topic 200 (0.00): police, night, home, attack, car, house, officers, yesterday, incident, arrested
Topic 1281 (0.00): information, form, details, application, date, office, required, certificate, address, copy
Topic 83 (0.00): profits, market, shares, share, cent, yesterday, dividend, trading, stock, rose
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 483 (0.00): school, children, pupils, teacher, teachers, schools, parents, education, primary, pupil
Topic 823 (0.00): birds, bird, species, wings, nest, owl, fly, feathers, owls, breeding
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, hot, floor, bed, dirty
Topic 215 (0.00): letter, letters, write, wrote, dear, written, hope, send, received, read
Topic 70 (0.00): party, labour, national, conference, communist, policy, left, movement, government, union
Topic 374 (0.00): army, war, attack, troops, forces, enemy, battle, front, allied, armies
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, thatcher, sir
Topic 1195 (0.00): killed, police, security, people, government, army, attacks, attack, forces, claimed
Topic 715 (0.00): people, person, lot, live, lives, country, talk, world, time, life
Topic 601 (0.00): view, opinion, views, attitude, expressed, public, opinions, attitudes, people, majority
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, political, international, prison, death, torture
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, love, light, day, joy
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, democratic, system
Topic 967 (0.00): staff, department, management, manager, training, senior, personnel, job, service, managers
Topic 277 (0.00): add, minutes, cook, oil, pan, serve, pepper, chopped, salt, water
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 1059 (0.00): site, sites, evidence, roman, archaeological, buildings, settlement, excavation, found, remains
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, tournament, par, won
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, missing, detective, sergeant
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, system
Topic 728 (0.00): house, home, live, flat, living, cottage, moved, family, couple, lived
Topic 50 (0.00): engine, power, rover, rear, front, range, fitted, speed, steering, car
Topic 1157 (0.00): countries, world, international, development, global, developing, aid, economic, country, nations
Topic 74 (0.00): failure, lack, poor, failed, inadequate, result, failures, reasons, due, difficult
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, results, test, standard, significant
Topic 1264 (0.00): paper, read, written, writing, letter, write, pen, letters, notes, hand
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, body, board, officers, representatives
Topic 130 (0.00): management, managers, manager, people, company, business, profit, job, employees, senior
Topic 1166 (0.00): knowledge, experience, understanding, skills, understand, people, ability, technical, learn, skill
Topic 1423 (0.00): director, chairman, executive, chief, company, appointed, managing, manager, board, business
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, data, period
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 859 (0.00): tears, life, pain, death, cry, grief, time, anger, feeling, crying
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, unemployment, welfare
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, months, weeks, treated
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, office
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, house, authority
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, limited, director, management, employees
Topic 84 (0.00): range, design, designed, wide, designs, prices, choice, products, includes, price
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, practices, hospital
Topic 693 (0.00): factors, factor, influence, individual, nature, importance, conditions, environment, degree, characteristics
Topic 79 (0.00): price, prices, market, buy, cost, pay, sell, bought, costs, buying
Topic 240 (0.00): desk, office, door, chair, sat, morning, looked, papers, building, floor
Topic 1394 (0.00): minister, affairs, cabinet, prime, ministers, foreign, deputy, defence, education, industry
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, disease, coronary, failure
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, provinces
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, environment, environmental, land, natural, trust
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, retail
Topic 774 (0.00): century, local, land, poor, parish, population, labourers, wealth, country, towns
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, runway, airport
Topic 629 (0.00): money, week, pay, paid, day, job, home, cost, buy, rent
Topic 329 (0.00): church, century, cathedral, churches, built, building, nave, buildings, stone, architecture
Topic 403 (0.00): culture, cultural, world, society, western, cultures, values, modern, life, social
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, strikes, dispute, government
