Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 996 (0.00): war, decline, time, crisis, remained, period, led, lost, continued, collapse
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, demonstration, riots
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 58 (0.00): crowd, people, audience, front, standing, day, stood, applause, stage, crowds
Topic 789 (0.00): cup, final, win, won, team, league, season, club, victory, division
Topic 550 (0.00): god, lord, prayer, love, life, pray, christian, people, heart, holy
Topic 423 (0.00): mind, matter, reason, question, understand, truth, suppose, surely, doubt, simply
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, concerto
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, justice, held
Topic 386 (0.00): company, bid, business, companies, deal, stake, cent, shares, chairman, market
Topic 956 (0.00): army, battle, soldiers, king, miles, enemy, prince, troops, horse, horses
Topic 1414 (0.00): life, time, home, people, friends, family, day, enjoy, children, feel
Topic 1109 (0.00): job, time, months, life, career, found, left, school, decided, people
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, fans
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 269 (0.00): told, press, allegations, statement, claimed, evidence, public, story, official, yesterday
Topic 1465 (0.00): cut, top, holes, plastic, hole, edge, piece, metal, fit, length
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, calcium, protein, shown, response, effect
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 941 (0.00): house, door, garden, front, gate, windows, road, stone, wall, window
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, society, economic, capital, system
Topic 1201 (0.00): act, section, provisions, person, powers, statutory, duty, subject, provision, persons
Topic 553 (0.00): mother, daughter, girl, parents, family, father, home, child, told, children
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, love, family
Topic 675 (0.00): proposals, proposed, review, council, consultation, document, paper, proposal, draft, committee
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, democratic, parties, national
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 808 (0.00): time, smiled, love, looked, told, laughed, happy, meet, day, kissed
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, father, woman, house
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, filtration
Topic 1001 (0.00): world, people, country, human, society, live, future, life, lives, power
Topic 756 (0.00): war, world, military, gulf, civil, country, army, wars, soldiers, peace
Topic 1302 (0.00): chapter, section, book, discussed, chapters, discussion, analysis, study, main, detail
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 762 (0.00): research, science, department, technology, university, centre, programme, development, institute, industry
Topic 21 (0.00): funding, grant, funds, money, fund, support, government, financial, grants, council
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, social, conservatives, thatcher
Topic 1200 (0.00): teachers, schools, teaching, teacher, curriculum, school, education, classroom, development, educational
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, found, biopsy, intestinal, chronic
Topic 1129 (0.00): social, society, people, sociology, individual, life, behaviour, individuals, societies, human
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, countries, common
