Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 58 (0.00): crowd, people, audience, front, stood, day, standing, applause, round, stage
Topic 996 (0.00): war, decline, led, time, crisis, period, remained, continued, collapse, suffered
Topic 789 (0.00): cup, final, win, won, team, league, season, club, victory, championship
Topic 550 (0.00): god, lord, prayer, life, love, pray, christian, people, heart, faith
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, demonstration, riots
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 423 (0.00): mind, matter, reason, question, suppose, understand, surely, truth, doubt, simply
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 386 (0.00): company, bid, business, companies, deal, shares, market, stake, cent, chairman
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, justice, act
Topic 956 (0.00): army, battle, soldiers, miles, king, enemy, prince, troops, horse, town
Topic 1414 (0.00): life, home, time, people, friends, day, family, enjoy, children, feel
Topic 1109 (0.00): job, time, life, months, found, career, people, school, left, started
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, fans
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, effect, increased, protein
Topic 1465 (0.00): cut, top, holes, plastic, hole, edge, metal, piece, fit, length
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, official, story, alleged
Topic 1126 (0.00): information, data, computer, system, systems, electronic, records, software, database, access
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminists, feminism, sex, sexual
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, society, labour, economic, system
Topic 941 (0.00): house, door, garden, front, gate, windows, window, stone, wall, road
Topic 1201 (0.00): act, section, provisions, person, statutory, powers, subject, duty, persons, provision
Topic 1141 (0.00): system, software, network, systems, data, applications, users, database, support, application
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, children
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, road
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 617 (0.00): college, university, oxford, professor, school, students, royal, lecturer, academic, student
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, woman, madam, leave, gentleman
Topic 675 (0.00): proposals, proposed, council, review, consultation, paper, document, proposal, draft, committee
Topic 1001 (0.00): world, people, country, human, live, society, life, future, lives, power
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, tanks, filtration
Topic 756 (0.00): war, world, military, gulf, country, civil, army, wars, soldiers, peace
Topic 808 (0.00): time, smiled, looked, love, told, laughed, happy, meet, kissed, day
Topic 762 (0.00): research, science, department, technology, university, centre, development, programme, institute, industry
Topic 1302 (0.00): chapter, section, chapters, book, discussed, discussion, analysis, main, detail, study
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, paint, portrait, painted
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, social, thatcher, conservatives
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, found, biopsy, intestinal, chronic
Topic 45 (0.00): military, army, coup, government, president, forces, officers, country, armed, attempt
Topic 1129 (0.00): social, society, sociology, people, individual, life, behaviour, individuals, societies, relations
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, political, common
Topic 21 (0.00): funding, grant, funds, money, fund, support, government, grants, financial, council
