Topic 58 (0.00): crowd, people, audience, front, day, stood, standing, applause, stage, round
Topic 734 (0.00): police, people, violence, protest, march, demonstrators, city, demonstrations, demonstration, riots
Topic 651 (0.00): party, political, revolution, communist, revolutionary, socialist, soviet, movement, socialism, workers
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, spirit
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, mathematics, teaching, assessment
Topic 386 (0.00): company, bid, business, deal, companies, stake, cent, market, shares, chairman
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 815 (0.00): rugby, players, world, game, cup, south, tour, team, international, play
Topic 1414 (0.00): life, time, home, people, day, friends, family, enjoy, feel, children
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, concerto
Topic 1109 (0.00): job, time, career, life, people, found, months, decided, school, started
Topic 956 (0.00): army, battle, soldiers, enemy, horse, miles, horses, king, troops, town
Topic 1126 (0.00): information, data, system, systems, computer, electronic, records, software, database, access
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, lord, law
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, increased, effect, protein
Topic 269 (0.00): told, press, claimed, allegations, statement, public, evidence, claims, newspaper, official
Topic 941 (0.00): house, door, garden, front, gate, windows, stone, wall, window, road
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, fans
Topic 1465 (0.00): cut, top, holes, plastic, piece, hole, metal, edge, length, bottom
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, power
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, system
Topic 1201 (0.00): act, section, person, provisions, statutory, duty, subject, powers, provision, persons
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 1001 (0.00): world, people, human, country, life, live, society, lives, hope, future
Topic 617 (0.00): college, university, oxford, professor, school, students, academic, lecturer, royal, student
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 1108 (0.00): difficult, solution, difficulties, situation, future, difficulty, task, alternative, remain, question
Topic 675 (0.00): proposals, proposed, proposal, consultation, paper, review, council, document, draft, report
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, miles
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, human, relations
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, tanks, plants, filtration
Topic 553 (0.00): mother, daughter, girl, parents, home, family, father, child, told, baby
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, summer, spring, grow
