Topic 58 (0.00): crowd, people, audience, front, round, day, stood, applause, crowds, standing
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, soviet, workers, socialism
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, faith
Topic 956 (0.00): army, battle, soldiers, horse, king, enemy, horses, troops, miles, rode
Topic 290 (0.00): century, nineteenth, twentieth, eighteenth, late, centuries, period, modern, middle, seventeenth
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 815 (0.00): rugby, players, world, game, cup, south, tour, team, international, coach
Topic 386 (0.00): company, bid, business, deal, companies, stake, shares, market, chairman, cent
Topic 1414 (0.00): life, time, home, people, friends, family, day, enjoy, children, feel
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, justice, lord, law
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, database
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 1490 (0.00): cells, cell, activity, membrane, receptor, increased, shown, calcium, effect, response
Topic 269 (0.00): told, allegations, press, claimed, statement, evidence, public, official, claims, report
Topic 1109 (0.00): job, time, career, people, life, found, school, months, left, decided
Topic 941 (0.00): house, door, garden, front, gate, windows, stone, wall, road, window
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminism, feminists, sex, sexual
Topic 1465 (0.00): cut, top, holes, plastic, piece, metal, hole, remove, edge, position
Topic 1001 (0.00): world, people, human, country, life, society, live, war, power, future
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, relations
Topic 1129 (0.00): social, society, people, sociology, individual, life, individuals, behaviour, societies, relations
Topic 1141 (0.00): system, software, network, systems, data, applications, users, database, support, application
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, subject, duty, provision, persons
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, gentleman, told, woman
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, paper, document, review, draft, committee
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 762 (0.00): research, department, science, technology, university, centre, programme, institute, development, industry
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 553 (0.00): mother, daughter, girl, parents, home, father, family, child, told, mum
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, pond
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, question, remain, means
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, election, thatcher
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, academic, royal, veterinary
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, found, serum, intestinal
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, portrait, painted, paint
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, grow
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, battle, soldiers
Topic 808 (0.00): time, smiled, love, looked, laughed, happy, told, meet, kissed, day
Topic 1302 (0.00): chapter, section, chapters, discussed, book, discussion, analysis, study, main, detail
Topic 924 (0.00): charges, court, trial, government, investigation, scandal, corruption, alleged, prison, arrested
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, country, panama
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, period, increases, decline, change
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, political, common
Topic 21 (0.00): funding, funds, money, grant, support, fund, government, financial, grants, council
Topic 1163 (0.00): windows, program, screen, files, file, dos, software, version, package, disk
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, guilty, crown, murder
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, girls, house
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, office
Topic 334 (0.00): local, government, authorities, councils, services, authority, central, council, county, district
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, policy, question, concern
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, drank, brandy, poured
