Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, workers, soviet, social
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, division
Topic 996 (0.00): decline, war, crisis, period, led, remained, time, continued, collapse, success
Topic 1109 (0.00): job, time, life, school, people, found, career, months, left, decided
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, demonstration, riots
Topic 58 (0.00): crowd, people, audience, day, front, stage, applause, crowds, standing, hall
Topic 815 (0.00): rugby, players, world, game, cup, tour, team, south, international, play
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, recordings, playing, composer, sound
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, bible, heart
Topic 386 (0.00): company, bid, business, companies, deal, shares, stake, cent, market, takeover
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, justice, held
Topic 956 (0.00): army, battle, soldiers, miles, enemy, horses, troops, horse, king, rode
Topic 1414 (0.00): life, time, home, people, family, day, friends, enjoy, children, feel
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, management
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminists, feminism, sex, sexual
Topic 158 (0.00): football, club, league, players, game, team, cup, match, fans, manager
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, story, official, claims
Topic 1490 (0.00): cells, cell, activity, membrane, receptor, calcium, shown, effect, response, increased
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, edge, metal, position, bottom
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, window, stone, road
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, capital, society, economic, system
Topic 1201 (0.00): act, section, provisions, person, statutory, powers, duty, subject, provision, acts
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, societies, human
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, baby
Topic 1001 (0.00): world, people, human, country, life, live, society, power, future, lives
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, father, woman, house
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, filtration, pond
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, democratic, parties, candidates
Topic 675 (0.00): proposals, proposed, council, document, consultation, proposal, review, paper, draft, committee
Topic 617 (0.00): college, university, oxford, professor, school, students, royal, lecturer, academic, student
Topic 762 (0.00): research, science, university, department, technology, centre, programme, development, institute, project
Topic 1302 (0.00): chapter, section, discussed, chapters, book, discussion, analysis, main, detail, study
Topic 808 (0.00): time, smiled, love, looked, laughed, told, happy, kissed, meet, mind
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, found, biopsy, serum, chronic
Topic 756 (0.00): war, world, military, gulf, country, civil, army, wars, battle, wartime
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, social, thatcher, conservatives
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, summer, spring, white
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, arrested, alleged, police
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, alternative, remain, view
Topic 21 (0.00): funding, funds, grant, money, fund, support, financial, government, grants, council
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, text
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, change, increases, effect, period
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1336 (0.00): union, community, treaty, economic, policy, single, monetary, countries, common, political
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, attempt, country
Topic 505 (0.00): friends, friend, life, time, met, found, home, school, friendship, house
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, letter, page, journal
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, drank, brandy, poured
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, concern, policy
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, recommended, review, evidence
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, square, house
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, time, power, history
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, line
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 322 (0.00): race, horse, jockey, won, winner, racing, trainer, cup, run, season
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1115 (0.00): murder, death, killed, kill, dead, killing, life, people, shot, murdered
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, pay, cent
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 1186 (0.00): church, catholic, religious, roman, bishops, christian, churches, pope, archbishop, clergy
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, conservative
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, childhood, school, family
Topic 1199 (0.00): law, legal, laws, common, courts, act, legislation, rules, criminal, principles
Topic 1463 (0.00): army, officer, regiment, military, soldiers, war, officers, training, soldier, captain
Topic 930 (0.00): president, bush, house, congress, administration, campaign, senate, republican, white, presidential
Topic 61 (0.00): differences, features, structure, similar, pattern, common, patterns, structures, variations, form
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 612 (0.00): women, children, woman, wives, married, home, family, mothers, husbands, employment
Topic 920 (0.00): policy, policies, government, political, public, social, economic, governments, implementation, issues
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 960 (0.00): boat, deck, water, boats, ship, yacht, crew, sea, sailing, cabin
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, cent, migration, south
Topic 1266 (0.00): money, raised, charity, fund, raise, people, appeal, local, funds, event
Topic 699 (0.00): research, study, social, studies, data, methods, researcher, project, researchers, observation
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 802 (0.00): press, newspaper, daily, paper, newspapers, news, times, papers, editor, national
Topic 934 (0.00): diet, food, foods, sugar, fat, eat, fibre, fruit, eating, vegetables
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feel, feelings, family, loss
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, vessels
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotional, emotions, feeling, person
Topic 1398 (0.00): hotel, pool, beach, bar, bedrooms, breakfast, night, dinner, single, private
Topic 1281 (0.00): form, information, details, date, office, application, required, certificate, copy, address
Topic 374 (0.00): army, attack, war, troops, enemy, forces, battle, allied, armies, front
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 215 (0.00): letter, letters, wrote, write, dear, written, hope, received, read, send
Topic 823 (0.00): birds, bird, wings, species, nest, fly, feathers, owl, food, owls
Topic 881 (0.00): life, experience, spiritual, human, god, love, world, mind, sense, nature
Topic 327 (0.00): sea, beach, coast, water, bay, sand, shore, island, tide, boat
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 70 (0.00): party, labour, national, conference, communist, movement, policy, left, government, parties
Topic 1195 (0.00): killed, police, government, people, security, attack, claimed, army, attacks, forces
Topic 959 (0.00): water, clean, washing, clothes, wash, kitchen, floor, hot, dirty, dry
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, trading, dividend, fell, rose
Topic 601 (0.00): view, opinion, views, attitude, expressed, public, opinions, attitudes, matter, majority
Topic 200 (0.00): police, night, home, attack, officers, house, yesterday, car, people, arrested
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, tournament, won, par
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, international, political, prison, death, torture
Topic 715 (0.00): people, person, live, lot, lives, life, understand, difficult, feel, country
Topic 1059 (0.00): site, sites, evidence, roman, archaeological, buildings, settlement, excavation, found, remains
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, chopped, serve, salt, heat
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, country, aid, nations
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, system, democratic
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, missing, detective, sergeant
Topic 967 (0.00): staff, department, management, manager, senior, training, personnel, job, responsibility, service
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 877 (0.00): beauty, beautiful, world, mind, life, love, light, day, eyes, joy
Topic 243 (0.00): benefit, income, benefits, social, security, allowance, support, people, supplementary, system
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, officers, board, body, policy
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, society, housing
Topic 728 (0.00): house, home, live, flat, living, cottage, people, moved, lived, couple
Topic 50 (0.00): engine, power, rover, rear, front, fitted, range, steering, speed, car
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, manager, managing, board, business
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, results, test, standard, measured
Topic 859 (0.00): tears, life, pain, death, cry, grief, anger, suffering, crying, feeling
Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, employers, relations, collective
Topic 79 (0.00): price, prices, market, cost, buy, pay, sell, bought, costs, buying
Topic 240 (0.00): desk, office, door, sat, chair, looked, morning, papers, floor, files
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, reasons, difficult, due
Topic 130 (0.00): management, managers, manager, people, business, company, profit, employees, job, team
Topic 1166 (0.00): knowledge, understanding, experience, skills, people, understand, ability, technical, skill, learn
Topic 84 (0.00): range, design, designed, designs, wide, choice, prices, products, quality, sizes
Topic 382 (0.00): company, companies, directors, business, shareholders, director, corporate, limited, management, employees
Topic 1330 (0.00): table, figures, average, total, figure, proportion, statistics, percentage, compared, data
Topic 156 (0.00): civil, government, department, service, servants, departments, ministers, public, policy, office
Topic 1264 (0.00): paper, read, writing, letter, written, write, letters, pen, notes, envelope
Topic 1219 (0.00): health, care, services, patients, service, practitioners, authorities, practice, practices, authority
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, months, weeks, disease
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 720 (0.00): housing, local, council, houses, accommodation, tenants, homes, homeless, authorities, private
Topic 693 (0.00): factors, factor, influence, individual, environment, conditions, nature, degree, affect, importance
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, failure, cardiac, acute, coronary
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, landing, airport, runway
Topic 1394 (0.00): minister, affairs, prime, cabinet, foreign, ministers, deputy, education, defence, national
Topic 1164 (0.00): conference, held, international, seminar, meeting, institute, details, delegates, university, organised
Topic 1073 (0.00): peasants, peasant, government, land, peasantry, tsar, reform, political, local, nobility
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, time, told, flight
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, stone, architecture
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, land, sites, trust
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, trade, strikes, dispute, government
Topic 719 (0.00): people, person, feel, talk, talking, time, listen, listening, feelings, ideas
Topic 86 (0.00): colour, red, blue, colours, white, yellow, green, black, light, dark
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, retail, customer
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, social, life
Topic 486 (0.00): television, programme, news, radio, programmes, viewers, series, people, live, coverage
Topic 774 (0.00): century, land, local, poor, parish, population, labourers, wealth, rural, towns
Topic 629 (0.00): money, week, pay, paid, buy, day, food, job, cost, rent
