Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, middle, modern, seventeenth
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 58 (0.00): crowd, people, audience, front, standing, applause, stood, round, stage, hall
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, workers, movement, social
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, sculpture
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, bible
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, children, feel
Topic 386 (0.00): company, bid, business, deal, companies, cent, stake, market, shares, takeover
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 1109 (0.00): job, time, career, life, left, found, months, people, decided, school
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, justice, law
Topic 956 (0.00): army, battle, soldiers, enemy, horse, miles, king, horses, troops, prince
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, shown, calcium, effect, protein, increased
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, stone, window, stood
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, position, edge, fit
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminists, feminism, sex, sexual
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, society, capital, economic, system
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, official, public, story, claims
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, farm
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, duty, subject, provision, acts
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 553 (0.00): mother, daughter, parents, girl, father, family, home, child, told, baby
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 675 (0.00): proposals, proposed, council, consultation, proposal, paper, document, review, draft, committee
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, hand, gentleman, told
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, parties, democratic, candidates
Topic 1001 (0.00): world, people, human, country, life, live, society, future, lives, hope
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, thatcher, conservatives, social
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, relations, human
Topic 617 (0.00): college, university, professor, oxford, school, students, academic, lecturer, royal, veterinary
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, portrait, painted, paint
Topic 1108 (0.00): difficult, solution, difficulties, situation, future, difficulty, task, possibility, alternative, question
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, pond, plants, fry, filtration
Topic 1302 (0.00): chapter, section, chapters, book, discussed, discussion, analysis, main, detail, study
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, soldiers, wartime
Topic 45 (0.00): military, army, government, coup, president, forces, officers, armed, country, attempt
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, spring, summer, white
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, international
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, found, liver, serum
Topic 21 (0.00): funding, money, funds, grant, support, fund, government, grants, financial, council
Topic 924 (0.00): charges, court, trial, government, investigation, scandal, corruption, alleged, arrested, prison
Topic 808 (0.00): time, smiled, love, looked, happy, laughed, told, home, meet, kissed
Topic 1163 (0.00): windows, program, screen, files, file, dos, software, version, package, disk
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, increases, change, period, decline
Topic 334 (0.00): local, government, authorities, councils, services, authority, central, council, county, district
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, political, common
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, time, ring, receiver, office
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, review, recommended
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, water, brandy
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
