Topic 996 (0.00): decline, remained, war, crisis, led, period, time, continued, collapse, late
Topic 1401 (0.00): management, evaluation, assessment, process, performance, review, objectives, information, development, effectiveness
Topic 651 (0.00): party, political, revolution, communist, revolutionary, socialist, soviet, workers, movement, social
Topic 58 (0.00): crowd, people, audience, day, front, stood, standing, applause, hall, crowds
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 1414 (0.00): life, home, time, people, friends, day, family, children, enjoy, feel
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, riots, demonstration
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, cent, market, chairman
Topic 956 (0.00): army, battle, soldiers, enemy, king, miles, left, horse, castle, horses
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, faith
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, justice, held
Topic 1109 (0.00): job, time, life, career, people, months, school, found, decided, left
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, recordings, playing, composer, sound
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 815 (0.00): rugby, players, world, cup, game, tour, south, team, play, international
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, story, claims, alleged
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, database
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminism, feminists, sex, sexual
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, match
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stone, stood
Topic 1465 (0.00): cut, top, plastic, holes, hole, metal, piece, edge, fit, remove
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, calcium, shown, effect, increased, response
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 553 (0.00): mother, daughter, girl, parents, family, father, home, child, told, mum
Topic 1001 (0.00): world, people, human, country, life, live, society, future, lives, power
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, economic, labour, society, system
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, leave, gentleman, hand
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, duty, provision, subject, persons
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, filtration, tanks
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, women, family
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 617 (0.00): college, university, professor, oxford, school, students, lecturer, academic, royal, student
Topic 1129 (0.00): social, society, life, sociology, individual, people, behaviour, individuals, societies, relations
Topic 602 (0.00): party, elections, cent, seats, election, vote, won, parties, democratic, candidates
Topic 1108 (0.00): solution, difficulties, difficult, situation, future, difficulty, task, time, alternative, view
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, portrait, paint, painted
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, chronic, found, intestinal
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, social, conservatives, thatcher
Topic 21 (0.00): funding, funds, grant, money, fund, support, government, financial, grants, council
