Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, mathematics, assessment, teaching
Topic 58 (0.00): crowd, people, audience, front, day, round, stood, applause, standing, hall
Topic 734 (0.00): police, people, violence, protest, demonstrators, march, demonstrations, city, demonstration, riots
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, workers, movement, socialism
Topic 550 (0.00): god, lord, prayer, love, life, christian, people, pray, spirit, bible
Topic 290 (0.00): century, nineteenth, twentieth, eighteenth, late, centuries, period, modern, middle, seventeenth
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, sculpture, catalogue
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, coach
Topic 386 (0.00): company, bid, business, companies, deal, stake, cent, shares, chairman, market
Topic 956 (0.00): army, battle, soldiers, enemy, horse, miles, king, horses, troops, prince
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, composer, recordings, playing, sound
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, lord, justice, held
Topic 1414 (0.00): life, time, home, people, friends, family, day, enjoy, children, feel
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, clubs
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 1109 (0.00): job, time, career, people, life, months, found, school, started, left
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, effect, increased, response
Topic 269 (0.00): told, claimed, press, allegations, statement, public, evidence, official, story, newspaper
Topic 1465 (0.00): cut, top, holes, plastic, piece, hole, edge, metal, fit, position
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, window, stone, road
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 1001 (0.00): world, people, country, human, life, live, power, society, future, war
Topic 1141 (0.00): system, software, systems, network, applications, data, users, database, support, management
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, relations
Topic 1201 (0.00): act, section, person, provisions, statutory, subject, powers, duty, provision, persons
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, house, madam, father, leave
Topic 1108 (0.00): difficult, solution, difficulties, situation, future, difficulty, task, question, alternative, remain
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, paper, review, document, draft, committee
Topic 880 (0.00): wife, husband, woman, married, marriage, children, life, daughter, family, women
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 762 (0.00): research, science, technology, department, university, centre, programme, institute, development, industry
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, human, relations
Topic 553 (0.00): mother, daughter, girl, parents, father, family, home, child, told, mum
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, tanks, filtration
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, white
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, portrait, painted, paint
Topic 1302 (0.00): chapter, section, chapters, discussed, book, discussion, analysis, study, main, detail
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, veterinary
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, period, increases, decline, rates
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, found, serum, intestinal
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, election, thatcher
Topic 21 (0.00): funding, funds, money, grant, fund, government, support, financial, grants, council
Topic 45 (0.00): military, army, coup, government, forces, president, country, officers, armed, attempt
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, battle, peace
Topic 924 (0.00): charges, court, trial, investigation, government, scandal, alleged, corruption, arrested, prison
Topic 808 (0.00): love, smiled, time, looked, happy, laughed, told, meet, kissed, hand
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, political, common, countries
Topic 1163 (0.00): windows, program, screen, files, dos, file, software, version, package, word
Topic 1227 (0.00): court, told, police, trial, yesterday, heard, found, crown, guilty, murder
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, drank, water, brandy
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 505 (0.00): friends, friend, life, met, time, found, home, house, girls, friendship
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, time, receiver, office
Topic 652 (0.00): magazine, article, issue, readers, editor, read, page, articles, letter, write
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, square, century, city
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, assembly, elections
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, paintings, exhibition, arts
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, power, centuries, time, rule
Topic 322 (0.00): race, horse, racing, won, jockey, trainer, winner, cup, run, national
Topic 1186 (0.00): church, catholic, roman, religious, bishops, christian, churches, pope, council, archbishop
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, concern, policy
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, plays, drama, audience
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, life, murdered, shot
Topic 186 (0.00): tax, income, taxes, taxation, revenue, rate, government, budget, vat, cent
Topic 61 (0.00): differences, structure, pattern, features, similar, common, structures, patterns, variations, individual
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, subject
Topic 920 (0.00): policy, policies, government, political, economic, public, social, implementation, governments, issues
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, local, day, support
Topic 1463 (0.00): army, officer, regiment, military, soldiers, war, officers, soldier, training, captain
Topic 1199 (0.00): law, legal, laws, courts, common, legislation, act, criminal, rules, statute
Topic 802 (0.00): press, daily, paper, newspaper, news, newspapers, times, papers, editor, national
Topic 612 (0.00): women, children, woman, married, wives, family, home, husbands, mothers, labour
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, sail
Topic 930 (0.00): president, bush, house, congress, senate, administration, campaign, republican, white, presidential
Topic 133 (0.00): word, words, recognition, information, system, input, text, lexicon, processing, lexical
