Topic 58 (0.00): crowd, people, audience, front, standing, stood, day, applause, round, stage
Topic 996 (0.00): war, decline, crisis, remained, period, led, time, continued, late, suffered
Topic 651 (0.00): party, political, revolution, communist, revolutionary, socialist, movement, soviet, workers, social
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, riots, demonstration
Topic 789 (0.00): cup, final, win, won, team, league, season, club, victory, championship
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 815 (0.00): rugby, players, world, game, cup, south, tour, team, play, international
Topic 132 (0.00): music, orchestra, recording, symphony, piano, performance, composer, playing, recordings, sound
Topic 386 (0.00): company, bid, business, companies, deal, stake, market, cent, shares, chairman
Topic 1493 (0.00): court, appeal, decision, judgment, judge, house, lords, law, justice, held
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, word, bible
Topic 956 (0.00): army, battle, soldiers, king, enemy, miles, horse, prince, horses, cavalry
Topic 1414 (0.00): time, life, home, people, day, friends, family, feel, enjoy, children
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 1109 (0.00): job, time, life, months, school, decided, found, career, people, left
Topic 269 (0.00): told, press, claimed, allegations, evidence, statement, story, public, newspaper, official
Topic 158 (0.00): football, club, league, players, game, team, cup, season, fans, manager
Topic 1372 (0.00): women, male, female, woman, feminist, gender, sex, feminism, feminists, sexual
Topic 1490 (0.00): cells, cell, membrane, activity, shown, receptor, calcium, protein, effect, increased
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, edge, position, remove
Topic 1201 (0.00): act, section, provisions, person, powers, statutory, duty, subject, provision, persons
Topic 1141 (0.00): system, software, network, systems, data, applications, users, database, support, management
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, society, labour, economic, system
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stone, road
Topic 880 (0.00): wife, husband, woman, married, marriage, children, life, daughter, family, love
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, baby
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, tanks, filtration
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, hand, madam, told, father
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, parties, democratic, candidates
Topic 1001 (0.00): world, people, country, human, life, live, society, future, lives, power
Topic 675 (0.00): proposals, proposed, council, consultation, paper, document, proposal, review, draft, committee
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, painted, picture, portrait
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, social, conservatives, thatcher
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, academic, royal, veterinary
Topic 808 (0.00): time, smiled, love, looked, laughed, happy, meet, told, kissed, tomorrow
Topic 1302 (0.00): chapter, section, discussed, chapters, book, discussion, analysis, study, detail, main
Topic 756 (0.00): war, world, military, country, gulf, civil, wars, army, soldiers, battle
Topic 1129 (0.00): social, society, people, sociology, individual, life, behaviour, individuals, human, societies
Topic 21 (0.00): funding, grant, funds, money, government, fund, support, grants, financial, council
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, arrested, prison
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, recommended, evidence, review
Topic 1163 (0.00): windows, program, screen, files, dos, file, version, software, package, word
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, chronic, found, biopsy, serum
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 45 (0.00): military, army, coup, government, forces, president, officers, armed, attempt, country
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, common, countries
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, effect, increases, rates, change
Topic 505 (0.00): friends, life, friend, met, time, home, found, house, friendship, school
Topic 334 (0.00): local, government, authorities, councils, central, services, authority, county, council, system
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, concern, future
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, federation, deputies, congress
Topic 1108 (0.00): solution, difficulties, difficult, situation, difficulty, future, remain, task, alternative, view
Topic 286 (0.00): flowers, plants, garden, flower, plant, roses, leaves, summer, spring, white
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, guilty, crown, jury
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, drank, poured, brandy
Topic 186 (0.00): tax, income, taxes, taxation, rate, government, revenue, budget, cent, vat
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, house, fine, square, century
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, time, centuries, power, rule
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 1186 (0.00): church, catholic, roman, religious, bishops, christian, churches, pope, clergy, council
Topic 322 (0.00): race, horse, racing, jockey, won, winner, trainer, cup, run, season
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, residential, assessment
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, time, receiver, office
Topic 1174 (0.00): party, president, elected, minister, national, government, council, political, elections, assembly
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, drama, actors, plays, company
Topic 920 (0.00): policy, policies, government, political, public, social, economic, implementation, governments, issues
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, conservative
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, management
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, cabin
Topic 1463 (0.00): army, officer, military, war, regiment, soldiers, officers, soldier, training, royal
Topic 61 (0.00): differences, structure, features, similar, pattern, common, patterns, structures, variations, contrast
