Topic 1401 (0.00): management, evaluation, assessment, process, performance, objectives, review, information, development, effectiveness
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 290 (0.00): century, nineteenth, eighteenth, late, twentieth, centuries, period, modern, middle, seventeenth
Topic 1414 (0.00): life, time, home, people, day, friends, family, enjoy, children, feel
Topic 58 (0.00): crowd, people, audience, day, front, stood, applause, standing, crowds, hall
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, lord, justice
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, cent, market, chairman
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, recordings, composer, playing, sound
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, faith
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, coach
Topic 956 (0.00): army, battle, soldiers, miles, king, enemy, horses, horse, castle, troops
Topic 1109 (0.00): job, time, life, people, career, decided, found, months, started, school
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, power
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stone, road
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, official, story, public, claims
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, database
Topic 1465 (0.00): cut, top, plastic, holes, hole, piece, edge, metal, position, fit
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 1490 (0.00): cells, cell, membrane, shown, activity, receptor, calcium, increased, effect, protein
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 1001 (0.00): world, people, country, human, life, live, society, future, hope, power
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 1201 (0.00): act, section, person, provisions, duty, statutory, powers, subject, provision, persons
Topic 553 (0.00): mother, daughter, girl, parents, family, father, home, child, told, mum
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, labour, capital, economic, system
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, tanks, filtration
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, parties, democratic, candidates
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, hand, woman, gentleman
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, veterinary
Topic 1129 (0.00): social, society, people, individual, life, sociology, behaviour, individuals, societies, relations
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 675 (0.00): proposals, proposed, consultation, document, council, proposal, paper, review, draft, committee
Topic 762 (0.00): research, science, department, university, technology, centre, programme, institute, development, academic
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, liver, found, intestinal
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, social, thatcher
Topic 1108 (0.00): solution, difficulties, difficult, situation, future, difficulty, task, view, sufficient, alternative
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 21 (0.00): funding, funds, grant, money, fund, support, government, financial, grants, council
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, change, period, increases, effect
Topic 756 (0.00): war, world, military, gulf, country, civil, army, wartime, fighting, wars
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, spring, summer, white
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, primary
Topic 1302 (0.00): chapter, section, discussed, book, chapters, discussion, analysis, main, study, detail
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, political, countries, common
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, arrested, prison
Topic 1163 (0.00): windows, program, screen, dos, file, files, software, version, package, text
Topic 45 (0.00): military, army, coup, government, president, forces, officers, country, armed, attempt
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, county, council, district
Topic 808 (0.00): time, smiled, love, laughed, looked, told, happy, meet, kissed, night
Topic 1000 (0.00): soviet, supreme, republics, union, republic, president, independence, federation, deputies, congress
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, found, guilty, murder
Topic 1120 (0.00): phone, telephone, call, voice, ring, calls, rang, receiver, time, office
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, question, political, concern, policy
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, house, city
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, poured, brandy
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, company
Topic 505 (0.00): friends, friend, life, met, time, found, home, friendship, school, left
Topic 322 (0.00): race, horse, won, jockey, racing, winner, trainer, cup, run, win
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, life, people, shot, murdered
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, rule, power, time
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 1186 (0.00): church, catholic, religious, roman, christian, bishops, pope, churches, council, clergy
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, conservative
Topic 1199 (0.00): law, legal, laws, common, act, courts, legislation, rules, criminal, statute
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 186 (0.00): tax, income, taxes, taxation, revenue, rate, government, budget, cent, vat
Topic 920 (0.00): policy, policies, government, political, economic, social, public, implementation, governments, issues
Topic 960 (0.00): boat, deck, water, ship, boats, crew, yacht, sea, sailing, sail
Topic 1463 (0.00): army, officer, soldiers, regiment, military, war, officers, training, soldier, captain
Topic 61 (0.00): differences, structure, features, pattern, similar, patterns, structures, common, variations, form
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, childhood, school, family
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 133 (0.00): word, words, recognition, information, system, input, text, lexicon, processing, corpus
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, cent, migration, south
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 612 (0.00): women, children, woman, wives, home, married, family, husbands, mothers, employment
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, milk
Topic 802 (0.00): press, daily, newspaper, paper, newspapers, news, papers, times, editor, mail
Topic 722 (0.00): fear, feelings, feel, anger, life, emotions, people, emotional, feeling, love
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, coast, seamen
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, local, support, funds
Topic 1398 (0.00): hotel, beach, bar, pool, bedrooms, breakfast, night, single, private, restaurant
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 1281 (0.00): information, form, details, application, office, date, required, certificate, copy, address
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, floor, dirty, bath, dry
Topic 96 (0.00): people, person, counselling, life, counsellor, social, feelings, feel, experience, loss
Topic 215 (0.00): letter, letters, write, wrote, dear, written, received, send, reply, hope
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, nature, reality
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 327 (0.00): sea, beach, coast, water, sand, bay, island, shore, tide, boat
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, international, political, prison, torture, death
Topic 70 (0.00): party, labour, national, communist, conference, left, policy, government, movement, parties
Topic 200 (0.00): police, night, home, attack, car, officers, house, yesterday, street, arrested
Topic 1195 (0.00): killed, police, government, people, security, army, attack, attacks, claimed, forces
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, owl, fly, food, owls
Topic 715 (0.00): people, person, lot, live, lives, feel, talk, understand, world, living
Topic 601 (0.00): view, opinion, views, expressed, attitude, public, opinions, attitudes, people, concern
Topic 83 (0.00): profits, shares, market, cent, share, yesterday, sales, trading, dividend, stock
Topic 374 (0.00): army, war, troops, attack, enemy, forces, battle, allied, front, armies
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, thatcher, sir
Topic 795 (0.00): baby, child, mother, birth, babies, pregnant, born, pregnancy, mothers, women
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, system, democratic
Topic 1059 (0.00): site, sites, evidence, roman, archaeological, buildings, settlement, excavation, remains, found
Topic 967 (0.00): staff, department, management, manager, training, senior, service, personnel, job, responsibility
Topic 877 (0.00): beauty, beautiful, world, mind, life, love, eyes, dream, day, light
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, system
Topic 277 (0.00): add, minutes, cook, oil, pan, pepper, salt, serve, chopped, heat
